year,month,mean_celsius,global_month_avg,total_disasters,total_damages,total_deaths
2009,12,13.2533210332103,13.1162410751787,1,0,2
2010,1,11.5984205128205,12.669920706176,0,0,0
2010,2,12.8807692307692,13.0912010003998,1,14196062,53
2010,3,14.1684221658206,14.5910744656313,0,0,0
2010,4,16.906944743066,16.1153823418336,0,0,0
2010,5,17.6712905877518,18.0436867225222,0,0,0
2010,6,19.965631646108,20.1420647693337,1,5763646,25
2010,7,21.3695520450119,21.1403370678311,0,0,0
2010,8,20.1830637915544,21.172382001587,0,0,0
2010,9,18.3313584818329,19.5120029076732,0,0,0
2010,10,17.1560311284046,17.6402288796734,0,0,0
2010,11,14.5398124467178,14.8497615412401,1,0,3
2010,12,11.7110680008168,13.1162410751787,1,0,0
2011,1,12.5807111846186,12.669920706176,0,0,0
2011,2,13.7972518737225,13.0912010003998,0,0,0
2011,3,14.9609365244537,14.5910744656313,0,0,0
2011,4,18.0598270771826,16.1153823418336,0,0,0
2011,5,18.7817488884184,18.0436867225222,0,0,0
2011,6,19.5262356575463,20.1420647693337,0,0,0
2011,7,19.7704751847941,21.1403370678311,0,0,0
2011,8,20.991426181514,21.172382001587,0,0,0
2011,9,20.1421229802514,19.5120029076732,0,0,0
2011,10,17.5135652939881,17.6402288796734,0,0,0
2011,11,15.783672556475,14.8497615412401,1,0,6
2011,12,13.2803033733303,13.1162410751787,1,0,0
2012,1,11.6872074159907,12.669920706176,0,0,0
2012,2,10.3845235361653,13.0912010003998,1,0,12
2012,3,15.0962409226826,14.5910744656313,0,0,0
2012,4,14.9324744557974,16.1153823418336,0,0,0
2012,5,18.1526947368421,18.0436867225222,0,0,0
2012,6,19.7074189249223,20.1420647693337,0,0,0
2012,7,20.2559646856158,21.1403370678311,0,0,0
2012,8,21.5339926103021,21.172382001587,0,0,0
2012,9,19.1487338960462,19.5120029076732,0,0,0
2012,10,17.5747916666667,17.6402288796734,0,0,0
2012,11,15.0531650983746,14.8497615412401,0,0,0
2012,12,13.8041588687877,13.1162410751787,0,0,0
2013,1,12.7112213267204,12.669920706176,0,0,0
2013,2,12.1804972627737,13.0912010003998,0,0,0
2013,3,14.2460567170358,14.5910744656313,0,0,0
2013,4,15.7598821300779,16.1153823418336,0,0,0
2013,5,16.4298998569385,18.0436867225222,0,0,0
2013,6,18.8666245259166,20.1420647693337,1,1416879,2
2013,7,21.9728364895134,21.1403370678311,0,0,0
2013,8,21.0526901669759,21.172382001587,0,0,0
2013,9,19.5548428755919,19.5120029076732,0,0,0
2013,10,18.3970682644982,17.6402288796734,1,0,1
2013,11,14.3171267115845,14.8497615412401,0,0,0
2013,12,13.3202817484981,13.1162410751787,1,0,1
2014,1,13.6939588688946,12.669920706176,2,0,6
2014,2,12.7169179657552,13.0912010003998,1,0,0
2014,3,14.1420429146178,14.5910744656313,0,0,0
2014,4,16.8798620094868,16.1153823418336,0,0,0
2014,5,17.2901531263292,18.0436867225222,0,0,0
2014,6,20.2993462628024,20.1420647693337,1,0,0
2014,7,20.6976241900648,21.1403370678311,0,0,0
2014,8,19.8042669584245,21.172382001587,0,0,0
2014,9,20.1090650317495,19.5120029076732,1,701286,6
2014,10,18.8285328345802,17.6402288796734,0,0,0
2014,11,16.139663093415,14.8497615412401,2,1168811,10
2014,12,13.3121734565309,13.1162410751787,0,0,0
2015,1,13.2777807106599,12.669920706176,0,0,0
2015,2,12.7691510920964,13.0912010003998,0,0,0
2015,3,13.4688933873144,14.5910744656313,0,0,0
2015,4,15.7201828110162,16.1153823418336,0,0,0
2015,5,17.0302820267686,18.0436867225222,0,0,0
2015,6,20.0101244316822,20.1420647693337,1,0,3275
2015,7,21.4124107759612,21.1403370678311,0,0,0
2015,8,20.5080565195835,21.172382001587,0,0,0
2015,9,17.4834231460098,19.5120029076732,1,0,3
2015,10,15.3090456017942,17.6402288796734,1,3377762,20
2015,11,14.4490890790136,14.8497615412401,0,0,0
2015,12,13.9916666666667,13.1162410751787,0,0,0
2016,1,12.8444014482915,12.669920706176,0,0,0
2016,2,12.6880622416727,13.0912010003998,0,0,0
2016,3,14.0125189845953,14.5910744656313,0,0,0
2016,4,15.7382282755516,16.1153823418336,0,0,0
2016,5,17.9304675382229,18.0436867225222,1,7877323,5
2016,6,20.2930423221803,20.1420647693337,0,0,0
2016,7,21.6016659663865,21.1403370678311,0,0,0
2016,8,21.9939797211661,21.172382001587,0,0,0
2016,9,21.2569743701129,19.5120029076732,0,0,0
2016,10,17.8934692991971,17.6402288796734,0,0,0
2016,11,15.8146563192905,14.8497615412401,0,0,0
2016,12,13.5581958655252,13.1162410751787,0,0,0
2017,1,11.4740200166806,12.669920706176,0,0,0
2017,2,14.4744371162156,13.0912010003998,0,0,0
2017,3,15.9449284253579,14.5910744656313,1,1875963,2
2017,4,16.5724968579808,16.1153823418336,0,0,0
2017,5,19.0810933448574,18.0436867225222,0,0,0
2017,6,21.371595159516,20.1420647693337,1,0,1
2017,7,22.3042371020856,21.1403370678311,1,0,0
2017,8,22.3046150500218,21.172382001587,0,0,0
2017,9,18.9235082522217,19.5120029076732,0,0,0
2017,10,18.3836119647613,17.6402288796734,0,0,0
2017,11,14.861392541496,14.8497615412401,0,0,0
2017,12,13.4241704219582,13.1162410751787,0,0,0
2018,1,14.7782441200325,12.669920706176,3,415820,6
2018,2,12.0864475461504,13.0912010003998,1,0,3
2018,3,14.0293778062861,14.5910744656313,0,0,0
2018,4,15.8828950935213,16.1153823418336,0,0,0
2018,5,17.7149469873287,18.0436867225222,0,0,0
2018,6,20.6908382590006,20.1420647693337,0,0,0
2018,7,22.329696345857,21.1403370678311,1,0,0
2018,8,22.5421579059374,21.172382001587,0,0,0
2018,9,21.167658242004,19.5120029076732,0,0,0
2018,10,18.4449209443362,17.6402288796734,2,0,14
2018,11,16.0345848056537,14.8497615412401,0,0,0
2018,12,15.1116591928251,13.1162410751787,0,0,0
2019,1,12.8219512195122,12.669920706176,0,0,0
2019,2,14.690514541387,13.0912010003998,0,0,0
2019,3,15.8608881645956,14.5910744656313,0,0,0
2019,4,16.4416154335383,16.1153823418336,0,0,0
2019,5,17.5961959892495,18.0436867225222,0,0,0
2019,6,20.6545042125729,20.1420647693337,1,0,567
2019,7,22.4438809723386,21.1403370678311,1,0,868
2019,8,21.5262092478159,21.172382001587,1,0,0
2019,9,20.0687255328403,19.5120029076732,0,0,0
2019,10,18.4997729618163,17.6402288796734,2,0,4
2019,11,15.1530042016807,14.8497615412401,3,0,10
2019,12,14.9595160634404,13.1162410751787,2,205989,2
2020,1,14.0398355601233,12.669920706176,1,0,0
